Bacteria,Chasing Life,Big Picture,Carethers,Rett,Winchester Ellie,WED24,WED30,Arina,Silp
CNCTC,0,0,0,0,0,0,0,0,0
EC59,0,0,0,0,0,0,0,0,0
EC60,0,0,0,0,0,0,0,0,0
EC61,0,0,0,0,0,0,0,0,0
EC62,0,0,1,1,1,1,1,0,0
EC63,0,0,0,0,0,0,0,0,0
EC64,,,,,,,,,
EC65,0,0,1,1,1,1,1,1,1
EC66,0,0,0,0,0,0,0,0,0
EC68,0,1,1,1,1,1,1,1,1
EC69,0,0,0,0,0,1,1,0,0
EC70,0,0,0,0,0,0,0,0,0
EC71,0,0,0,0,0,0,0,0,0
EC72,0,0,0,0,0,0,0,0,0
EC73,1,1,10,10,1,1,1,10,10
EC74,0,0,0,0,0,0,0,0,0
EC75,0,1,100,100,100,100,100,100,100
EC77,1,1,1,1,1,1,1,1,1
EC79,0,0,0,0,0,0,0,0,0
