Bacteria,Chasing Life,Big Picture,Carethers,Rett,Winchester Ellie,WED24,WED30,Arina,Silp
Sal10,0,0,0,0,0,0,0,0,0
Sal11,0,0,1,1,0,0,0,1,1
Sal12,0,0,1,1,1,1,0,0,0
Sal13,0,1,1,1,1,1,1,10,10
Sal14,0,0,0,1,1,1,1,0,0
Sal15,0,0,1,1,1,1,0,10,1
Sal16,0,0,1,1,1,1,1,1,0
Sal17,0,0,0,1,1,1,1,1,10
Sal18,0,0,0,0,1,1,0,0,0
Sal19,0,1,1,1,0,0,0,0,0
Sal20,0,0,0,0,0,0,0,0,0
Sal21,0,0,0,1,1,1,1,0,0
Sal22,0,10,1,1,1,1,1,1,1
Sal23,0,0,0,1,1,1,1,1,1
Sal24,0,1,0,1,1,1,1,0,0
Sal25,0,1,1,1,1,1,1,0,0
Sal26,0,10,1,1,1,1,1,1,1
Sal27,0,0,0,0,1,1,1,1,10
Sal28,0,0,1,1,1,1,0,10,10
Sal29,0,0,10,10,0,0,0,10,10
