Bacteria,Chasing Life,Big Picture,Carethers,Rett,Winchester Ellie,WED24,WED30,Arina,Silp
Serratia_1,1,10,0,0,10,10,10,0,0
Serratia_2,0,0,1,1,10,10,10,1,1
Serratia_3,0,0,0,0,1,1,1,0,0
Serratia_4,1,10,1,0,100,100,100,0,0
Serratia_5,0,0,0,0,1,1,1,0,0
Serratia_6,1,10,1,1,10,100,100,1,1
Serratia_7,10,0,0,0,100,100,100,0,0
Serratia_8,0,0,0,0,100,100,100,0,0
Serratia_9,0,0,10,1,10,10,10,1,1
Serratia_10,0,1,100,0,100,100,100,0,0
Serratia_11,0,1,0,0,10,10,10,0,0
Serratia_12,1,10,1,0,100,100,100,0,0
Serratia_13,0,0,0,0,1,1,1,0,0
Serratia_14,0,0,0,0,10,10,10,0,0
