Bacteria,Chasing Life,Big Picture,Carethers,Rett,Winchester Ellie,WED24,WED30,Arina,Silp
Sh10,0,0,0,0,0,0,0,0,0
Sh11,0,0,0,0,0,1,0,0,0
Sh12,0,0,0,0,0,1,1,1,0
Sh13,0,0,0,0,1,1,0,0,0
Sh14,0,0,0,0,0,0,0,0,0
Sh15,0,0,0,0,0,0,0,0,0
Sh16,0,0,0,0,1,1,1,0,0
Sh17,0,0,0,0,0,0,0,0,0
Sh19,0,0,0,0,0,0,0,0,0
Sh20,0,1,0,0,0,0,0,0,0
Sh21,0,0,1,0,1,0,0,0,0
Sh22,0,0,0,0,0,1,0,1,0
Sh23,0,0,0,0,0,0,0,0,0
Sh24,0,0,0,0,0,0,0,0,0
Sh25,0,0,0,0,0,0,0,0,0
Sh26,0,0,0,0,0,0,0,0,0
Sh27,0,0,1,0,1,1,1,1,1
Sh28,0,0,0,0,0,0,0,0,0
Sh29,0,0,0,0,1,0,0,0,0
Sh30,0,0,0,0,0,0,0,0,0
